Number,references,location,Region,MAP,MAT,Texture,PPH,SOC,Water,OP,CW,WSP,WSP%,Nitrogen,ON,CN,NSP,NSP%,Yield,WP,NUE
62,Hernadez et al. 2015,Argentina,Argentina,250,13.6,loam,80000,31.32,737,551,W+,186,,120,120,N,0,0,13.49,1.83,112.38
62,Hernadez et al. 2015,Argentina,Argentina,250,13.6,loam,80000,31.32,737,551,W+,186,,0,120,N-,-120,,11.19,1.52,
62,Hernadez et al. 2015,Argentina,Argentina,250,13.6,loam,80000,31.32,387,551,W-,-164,,120,120,N,0,0,4.84,1.25,40.36
62,Hernadez et al. 2015,Argentina,Argentina,250,13.6,loam,80000,31.32,387,551,W-,-164,,0,120,N-,-120,,5.79,1.5,
62,Hernadez et al. 2015,Argentina,Argentina,250,13.6,loam,80000,31.32,1673,551,W+,1122,67.06515242,120,120,N,0,0,13.41,0.8,111.79
62,Hernadez et al. 2015,Argentina,Argentina,250,13.6,loam,80000,31.32,1673,551,W+,1122,67.06515242,0,120,N-,-120,,9.38,0.56,
62,Hernadez et al. 2015,Argentina,Argentina,250,13.6,loam,80000,31.32,1588,551,W+,1037,61.98445906,120,120,N,0,0,13.52,0.85,112.7
62,Hernadez et al. 2015,Argentina,Argentina,250,13.6,loam,80000,31.32,1588,551,W+,1037,61.98445906,0,120,N-,-120,,9.25,0.58,
62,Hernadez et al. 2015,Argentina,Argentina,250,13.6,loam,80000,31.32,551,551,W,0,0,120,120,N,0,0,13.59,2.47,113.28
62,Hernadez et al. 2015,Argentina,Argentina,250,13.6,loam,80000,31.32,551,551,W,0,0,0,120,N-,-120,,9.93,1.8,
62,Hernadez et al. 2015,Argentina,Argentina,250,13.6,loam,80000,31.32,364,551,W-,-187,-11.1775254,120,120,N,0,0,9.23,2.54,76.91
62,Hernadez et al. 2015,Argentina,Argentina,250,13.6,loam,80000,31.32,364,551,W-,-187,-11.1775254,0,120,N-,-120,,8.77,2.41,
78,"Melchiori, 2008",Argentina,Argentina,1000,13.9,loam,85000,17.69,1425.1,1425.1,W,0,0,0,120,N-,-120,,6.57,0.46,
78,"Melchiori, 2008",Argentina,Argentina,1000,13.9,loam,85000,17.69,1425.1,1425.1,W,0,0,50,120,N-,-70,,9.09,0.64,181.76
78,"Melchiori, 2008",Argentina,Argentina,1000,13.9,loam,85000,17.69,1425.1,1425.1,W,0,0,200,120,N+,80,40,14.04,0.98,70.19
78,"Melchiori, 2008",Argentina,Argentina,1000,13.9,loam,85000,17.69,1090.3,1425.1,W-,-334.8,-20.01195457,0,120,N-,-120,,8.36,0.77,
78,"Melchiori, 2008",Argentina,Argentina,1000,13.9,loam,85000,17.69,1090.3,1425.1,W-,-334.8,,50,120,N-,-70,,8.14,0.75,162.86
78,"Melchiori, 2008",Argentina,Argentina,1000,13.9,loam,85000,17.69,1090.3,1425.1,W-,-334.8,,200,120,N+,80,,9.61,0.88,48.04
78,"Melchiori, 2008",Argentina,Argentina,1000,13.9,loam,85000,17.69,901.6,1425.1,W-,-523.5,-31.29109384,0,120,N-,-120,,3.99,0.44,
78,"Melchiori, 2008",Argentina,Argentina,1000,13.9,loam,85000,17.69,901.6,1425.1,W-,-523.5,-31.29109384,50,120,N-,-70,,6.77,0.75,135.34
78,"Melchiori, 2008",Argentina,Argentina,1000,13.9,loam,85000,17.69,901.6,1425.1,W-,-523.5,-31.29109384,200,120,N+,80,40,11.89,1.32,59.46
78,"Melchiori, 2008",Argentina,Argentina,1000,13.9,loam,85000,17.69,453.4,1425.1,W-,-971.7,-58.08129109,0,120,N-,-120,,5.87,1.3,
78,"Melchiori, 2008",Argentina,Argentina,1000,13.9,loam,85000,17.69,453.4,1425.1,W-,-971.7,-58.08129109,50,120,N-,-70,,6.92,1.53,138.46
78,"Melchiori, 2008",Argentina,Argentina,1000,13.9,loam,85000,17.69,453.4,1425.1,W-,-971.7,-58.08129109,200,120,N+,80,40,10.3,2.27,51.52
78,"Melchiori, 2008",Argentina,Argentina,1000,13.9,loam,85000,17.69,1425.1,1425.1,W,0,0,0,120,N-,-120,,6.95,0.49,
78,"Melchiori, 2008",Argentina,Argentina,1000,13.9,loam,85000,17.69,1425.1,1425.1,W,0,0,50,120,N-,-70,,8.42,0.59,168.42
78,"Melchiori, 2008",Argentina,Argentina,1000,13.9,loam,85000,17.69,1425.1,1425.1,W,0,0,200,120,N+,80,40,13.06,0.92,65.29
78,"Melchiori, 2008",Argentina,Argentina,1000,13.9,loam,85000,17.69,1090.3,1425.1,W-,-334.8,,0,120,N-,-120,,6.98,0.64,
78,"Melchiori, 2008",Argentina,Argentina,1000,13.9,loam,85000,17.69,1090.3,1425.1,W-,-334.8,,50,120,N-,-70,,7.26,0.67,145.14
78,"Melchiori, 2008",Argentina,Argentina,1000,13.9,loam,85000,17.69,1090.3,1425.1,W-,-334.8,,200,120,N+,80,40,6.39,0.59,31.97
78,"Melchiori, 2008",Argentina,Argentina,1000,13.9,loam,85000,17.69,901.6,1425.1,W-,-523.5,-31.29109384,0,120,N-,-120,,3.73,0.41,
78,"Melchiori, 2008",Argentina,Argentina,1000,13.9,loam,85000,17.69,901.6,1425.1,W-,-523.5,-31.29109384,50,120,N-,-70,,6.5,0.72,129.98
78,"Melchiori, 2008",Argentina,Argentina,1000,13.9,loam,85000,17.69,901.6,1425.1,W-,-523.5,-31.29109384,200,120,N+,80,40,11.6,1.29,58.01
78,"Melchiori, 2008",Argentina,Argentina,1000,13.9,loam,85000,17.69,453.4,1425.1,W-,-971.7,-58.08129109,0,120,N-,-120,,4.83,1.07,
78,"Melchiori, 2008",Argentina,Argentina,1000,13.9,loam,85000,17.69,453.4,1425.1,W-,-971.7,-58.08129109,50,120,N-,-70,,5.64,1.24,112.72
78,"Melchiori, 2008",Argentina,Argentina,1000,13.9,loam,85000,17.69,453.4,1425.1,W-,-971.7,-58.08129109,200,120,N+,80,40,8.79,1.94,43.95
50,Pandey et al. 2007,Bengou,Benin,1300,27.7,sandy,,2.1,511,511,W,0,,0,135,N-,-135,-0.75,0.83,0.16,
50,Pandey et al. 2007,Bengou,Benin,1300,27.7,sandy,,2.1,511,511,W,0,,45,135,N-,-90,-0.5,1.27,0.25,28.11
50,Pandey et al. 2007,Bengou,Benin,1300,27.7,sandy,,2.1,511,511,W,0,,90,135,N-,-45,-0.25,1.8,0.35,20
50,Pandey et al. 2007,Bengou,Benin,1300,27.7,sandy,,2.1,511,511,W,0,,135,135,N,0,0,2.42,0.47,17.89
50,Pandey et al. 2007,Bengou,Benin,1300,27.7,sandy,,2.1,511,511,W,0,,180,135,N+,45,0.25,1.98,0.39,10.97
34,Duarte et al. 2005,Palmital,Brazil,800,25.5,clay,56500,,794,794,W,0,0,0,180,N-,-180,,6.4,0.81,
34,Duarte et al. 2005,Palmital,Brazil,800,25.5,clay,56500,,794,794,W,0,0,60,180,N-,-120,,7.3,0.92,121.67
34,Duarte et al. 2005,Palmital,Brazil,800,25.5,clay,56500,,794,794,W,0,0,120,180,N-,-60,,7.6,0.96,63.33
34,Duarte et al. 2005,Palmital,Brazil,800,25.5,clay,56500,,794,794,W,0,0,180,180,N,0,,7.8,0.98,43.33
34,Duarte et al. 2005,Votuporanga,Brazil,800,25.5,sandy loam,56500,,626,794,W-,-168,-0.211586902,0,180,N-,-180,,5.4,0.86,
34,Duarte et al. 2005,Votuporanga,Brazil,800,25.5,sandy loam,56500,,626,794,W-,-168,-0.211586902,60,180,N-,-120,,6.1,0.97,101.67
